1086.00,5.000,17.072,6.643,6.643,0.000,0.000,1.0000,25.000,15.160,10.429,685.19
1091.00,5.000,17.066,6.641,6.641,0.000,0.000,1.0000,25.000,15.194,10.425,685.63
1096.00,5.000,17.060,6.638,6.638,0.000,0.000,1.0000,25.000,15.227,10.421,686.06
1101.00,5.000,17.053,6.636,6.636,0.000,0.000,1.0000,25.000,15.261,10.417,686.48
1106.00,5.000,17.047,6.633,6.633,0.000,0.000,1.0000,25.000,15.294,10.413,686.90
1111.00,5.000,17.040,6.631,6.631,0.000,0.000,1.0000,25.000,15.328,10.409,687.32
1116.00,5.000,17.034,6.628,6.628,0.000,0.000,1.0000,25.000,15.362,10.405,687.73
1121.00,5.000,17.027,6.626,6.626,0.000,0.000,1.0000,25.000,15.395,10.401,688.14
1126.00,5.000,17.021,6.623,6.623,0.000,0.000,1.0000,25.000,15.429,10.398,688.54
1131.00,5.000,17.014,6.620,6.620,0.000,0.000,1.0000,25.000,15.462,10.394,688.94
1136.00,5.000,17.008,6.618,6.618,0.000,0.000,1.0000,25.000,15.496,10.390,689.33
1141.00,5.000,17.001,6.615,6.615,0.000,0.000,1.0000,25.000,15.529,10.386,689.72
1146.00,5.000,16.995,6.612,6.612,0.000,0.000,1.0000,25.000,15.563,10.382,690.11
